date,state,city,cases,deaths
2020-03-16,CE,Fortaleza/CE,8,0
2020-03-17,CE,Fortaleza/CE,9,0
2020-03-18,CE,Fortaleza/CE,17,0
2020-03-19,CE,Fortaleza/CE,17,0
2020-03-20,CE,Fortaleza/CE,63,0
2020-03-21,CE,Fortaleza/CE,76,0
2020-03-22,CE,Fortaleza/CE,116,0
2020-03-23,CE,Fortaleza/CE,151,0
2020-03-24,CE,Fortaleza/CE,170,0
2020-03-25,CE,Fortaleza/CE,196,0
2020-03-26,CE,Fortaleza/CE,224,3
2020-03-27,CE,Fortaleza/CE,268,3
2020-03-28,CE,Fortaleza/CE,304,4
2020-03-29,CE,Fortaleza/CE,338,5
2020-03-30,CE,Fortaleza/CE,353,5
2020-03-31,CE,Fortaleza/CE,371,6
2020-04-01,CE,Fortaleza/CE,413,6
2020-04-02,CE,Fortaleza/CE,526,0
2020-04-03,CE,Fortaleza/CE,600,17
2020-04-04,CE,Fortaleza/CE,681,18
2020-04-05,CE,Fortaleza/CE,869,26
2020-04-06,CE,Fortaleza/CE,929,27
2020-04-07,CE,Fortaleza/CE,1053,30
2020-04-08,CE,Fortaleza/CE,1238,45
2020-04-09,CE,Fortaleza/CE,1283,45
2020-04-10,CE,Fortaleza/CE,1366,53
2020-04-11,CE,Fortaleza/CE,1457,58
2020-04-12,CE,Fortaleza/CE,1529,59
2020-04-13,CE,Fortaleza/CE,1686,78
2020-04-14,CE,Fortaleza/CE,1794,86
2020-04-15,CE,Fortaleza/CE,1946,93
2020-04-16,CE,Fortaleza/CE,2041,95
2020-04-17,CE,Fortaleza/CE,2300,119
2020-04-18,CE,Fortaleza/CE,2562,141
2020-04-19,CE,Fortaleza/CE,2688,148
2020-04-20,CE,Fortaleza/CE,2840,164
2020-04-21,CE,Fortaleza/CE,3018,176
2020-04-22,CE,Fortaleza/CE,3303,189
2020-04-23,CE,Fortaleza/CE,3791,212
2020-04-24,CE,Fortaleza/CE,4063,228
2020-04-25,CE,Fortaleza/CE,4541,259
2020-04-26,CE,Fortaleza/CE,4991,295
2020-04-27,CE,Fortaleza/CE,5326,316
2020-04-28,CE,Fortaleza/CE,5481,329
2020-04-29,CE,Fortaleza/CE,5712,349
2020-04-30,CE,Fortaleza/CE,5970,381
2020-05-01,CE,Fortaleza/CE,6082,413
2020-05-02,CE,Fortaleza/CE,6353,498
2020-05-03,CE,Fortaleza/CE,6417,528
2020-05-04,CE,Fortaleza/CE,8198,553
2020-05-05,CE,Fortaleza/CE,8509,608
2020-05-06,CE,Fortaleza/CE,9061,651
2020-05-07,CE,Fortaleza/CE,9669,694
2020-05-08,CE,Fortaleza/CE,10476,761
2020-05-09,CE,Fortaleza/CE,10995,809
2020-05-10,CE,Fortaleza/CE,11556,840
2020-05-11,CE,Fortaleza/CE,11935,893
2020-05-12,CE,Fortaleza/CE,12484,950
2020-05-13,CE,Fortaleza/CE,13037,1022
2020-05-14,CE,Fortaleza/CE,13777,1039
2020-05-15,CE,Fortaleza/CE,14690,1137
2020-05-16,CE,Fortaleza/CE,15162,1163
2020-05-17,CE,Fortaleza/CE,15371,1174
2020-05-18,CE,Fortaleza/CE,16169,1253
2020-05-19,CE,Fortaleza/CE,16784,1307
2020-05-20,CE,Fortaleza/CE,18010,1333
2020-05-21,CE,Fortaleza/CE,18644,1503
2020-05-22,CE,Fortaleza/CE,19270,1548
2020-05-23,CE,Fortaleza/CE,19552,1574
2020-05-24,CE,Fortaleza/CE,19795,1579
2020-05-25,CE,Fortaleza/CE,20146,1687
2020-05-26,CE,Fortaleza/CE,20789,1769
2020-05-27,CE,Fortaleza/CE,20939,1783
2020-05-28,CE,Fortaleza/CE,21328,1804
2020-05-29,CE,Fortaleza/CE,21705,1877
2020-05-30,CE,Fortaleza/CE,23378,1939
2020-05-31,CE,Fortaleza/CE,23613,1967
2020-06-01,CE,Fortaleza/CE,24104,2084
2020-06-02,CE,Fortaleza/CE,25344,2277
2020-06-03,CE,Fortaleza/CE,25726,2334
2020-06-04,CE,Fortaleza/CE,26514,2424
2020-06-05,CE,Fortaleza/CE,27074,2453
2020-06-06,CE,Fortaleza/CE,27320,2459
2020-06-07,CE,Fortaleza/CE,27411,2458
2020-06-08,CE,Fortaleza/CE,27889,2569
2020-06-09,CE,Fortaleza/CE,28550,2637
2020-06-10,CE,Fortaleza/CE,29322,2714
2020-06-11,CE,Fortaleza/CE,29951,2810
2020-06-12,CE,Fortaleza/CE,30210,2848
2020-06-13,CE,Fortaleza/CE,30323,2851
2020-06-14,CE,Fortaleza/CE,30426,2854
2020-06-15,CE,Fortaleza/CE,30863,2915
2020-06-16,CE,Fortaleza/CE,30986,3006
2020-06-17,CE,Fortaleza/CE,31841,3059
2020-06-18,CE,Fortaleza/CE,32226,3087
2020-06-19,CE,Fortaleza/CE,32531,3113
2020-06-20,CE,Fortaleza/CE,32794,3109
2020-06-21,CE,Fortaleza/CE,32854,3110
2020-06-22,CE,Fortaleza/CE,33198,3136
2020-06-23,CE,Fortaleza/CE,33755,3174
2020-06-24,CE,Fortaleza/CE,34027,3212
2020-06-25,CE,Fortaleza/CE,34448,3235
2020-06-26,CE,Fortaleza/CE,34719,3244
2020-06-27,CE,Fortaleza/CE,34992,3244
2020-06-28,CE,Fortaleza/CE,35012,3245
2020-06-29,CE,Fortaleza/CE,35081,3276
2020-06-30,CE,Fortaleza/CE,35313,3288
2020-07-01,CE,Fortaleza/CE,35615,3296
2020-07-02,CE,Fortaleza/CE,35899,3334
2020-07-03,CE,Fortaleza/CE,36272,3356
2020-07-04,CE,Fortaleza/CE,36875,3377
2020-07-05,CE,Fortaleza/CE,36939,3375
2020-07-06,CE,Fortaleza/CE,37071,3387
2020-07-07,CE,Fortaleza/CE,37338,3398
2020-07-08,CE,Fortaleza/CE,37621,3448
2020-07-09,CE,Fortaleza/CE,37724,3465
2020-07-10,CE,Fortaleza/CE,37943,3499
2020-07-11,CE,Fortaleza/CE,38039,3498
2020-07-12,CE,Fortaleza/CE,38127,3498
2020-07-13,CE,Fortaleza/CE,38142,3534
2020-07-14,CE,Fortaleza/CE,38368,3536
2020-07-15,CE,Fortaleza/CE,38754,3553
2020-07-16,CE,Fortaleza/CE,38869,3573
2020-07-17,CE,Fortaleza/CE,39702,3582
2020-07-18,CE,Fortaleza/CE,39702,3582
2020-07-19,CE,Fortaleza/CE,39941,3583
2020-07-20,CE,Fortaleza/CE,39891,3613
2020-07-21,CE,Fortaleza/CE,40241,3618
2020-07-22,CE,Fortaleza/CE,40452,3617
2020-07-23,CE,Fortaleza/CE,40683,3643
2020-07-24,CE,Fortaleza/CE,40992,3659
2020-07-25,CE,Fortaleza/CE,41150,3662
2020-07-26,CE,Fortaleza/CE,41204,3663
2020-07-27,CE,Fortaleza/CE,41253,3665
2020-07-28,CE,Fortaleza/CE,41658,3689
2020-07-29,CE,Fortaleza/CE,41912,3690
2020-07-30,CE,Fortaleza/CE,42029,3689
2020-07-31,CE,Fortaleza/CE,41954,3690
2020-08-01,CE,Fortaleza/CE,42108,3691
2020-08-02,CE,Fortaleza/CE,42272,3689
2020-08-03,CE,Fortaleza/CE,42245,3696
2020-08-04,CE,Fortaleza/CE,42452,3712
2020-08-05,CE,Fortaleza/CE,42687,3722
2020-08-06,CE,Fortaleza/CE,42888,3727
2020-08-07,CE,Fortaleza/CE,43423,3733
2020-08-08,CE,Fortaleza/CE,43850,3736
2020-08-09,CE,Fortaleza/CE,43867,3750
2020-08-10,CE,Fortaleza/CE,44009,3742
2020-08-11,CE,Fortaleza/CE,44298,3744
2020-08-12,CE,Fortaleza/CE,44519,3750
2020-08-13,CE,Fortaleza/CE,44734,3757
2020-08-14,CE,Fortaleza/CE,44861,3758
2020-08-15,CE,Fortaleza/CE,44905,3756
2020-08-16,CE,Fortaleza/CE,44926,3756
2020-08-17,CE,Fortaleza/CE,44974,3758
2020-08-18,CE,Fortaleza/CE,45120,3758
2020-08-19,CE,Fortaleza/CE,45257,3766
2020-08-20,CE,Fortaleza/CE,45420,3769
2020-08-21,CE,Fortaleza/CE,45494,3770
2020-08-22,CE,Fortaleza/CE,45554,3773
2020-08-23,CE,Fortaleza/CE,45616,3773
2020-08-24,CE,Fortaleza/CE,45863,3780
2020-08-25,CE,Fortaleza/CE,46008,3776
2020-08-26,CE,Fortaleza/CE,46309,3776
2020-08-27,CE,Fortaleza/CE,46419,3776
2020-08-28,CE,Fortaleza/CE,46581,3775
2020-08-29,CE,Fortaleza/CE,46631,3777
2020-08-30,CE,Fortaleza/CE,46689,3778
2020-08-31,CE,Fortaleza/CE,46756,3781
2020-09-01,CE,Fortaleza/CE,46932,3786
2020-09-02,CE,Fortaleza/CE,47087,3786
2020-09-03,CE,Fortaleza/CE,47272,3792
2020-09-04,CE,Fortaleza/CE,47408,3805
2020-09-05,CE,Fortaleza/CE,47454,3807
2020-09-06,CE,Fortaleza/CE,47467,3807
2020-09-07,CE,Fortaleza/CE,47489,3806
2020-09-08,CE,Fortaleza/CE,47521,3807
2020-09-09,CE,Fortaleza/CE,47638,3811
2020-09-10,CE,Fortaleza/CE,47707,3810
2020-09-11,CE,Fortaleza/CE,47799,3818
2020-09-12,CE,Fortaleza/CE,47843,3819
2020-09-13,CE,Fortaleza/CE,47882,3819
2020-09-14,CE,Fortaleza/CE,47905,3818
2020-09-15,CE,Fortaleza/CE,47999,3830
2020-09-16,CE,Fortaleza/CE,48105,3837
2020-09-17,CE,Fortaleza/CE,48211,3837
2020-09-18,CE,Fortaleza/CE,48329,3836
2020-09-19,CE,Fortaleza/CE,48394,3839
2020-09-20,CE,Fortaleza/CE,48477,3844
2020-09-21,CE,Fortaleza/CE,48528,3843
2020-09-22,CE,Fortaleza/CE,48641,3843
2020-09-23,CE,Fortaleza/CE,48728,3845
2020-09-24,CE,Fortaleza/CE,48788,3846
2020-09-25,CE,Fortaleza/CE,48790,3844
2020-09-26,CE,Fortaleza/CE,48855,3846
2020-09-27,CE,Fortaleza/CE,48891,3845
2020-09-28,CE,Fortaleza/CE,48892,3845
2020-09-29,CE,Fortaleza/CE,48946,3846
2020-09-30,CE,Fortaleza/CE,48993,3857
2020-10-01,CE,Fortaleza/CE,49087,3869
2020-10-02,CE,Fortaleza/CE,49130,3868
2020-10-03,CE,Fortaleza/CE,49172,3871
2020-10-04,CE,Fortaleza/CE,49207,3873
2020-10-05,CE,Fortaleza/CE,51469,3873
2020-10-06,CE,Fortaleza/CE,51577,3872
2020-10-07,CE,Fortaleza/CE,51710,3871
2020-10-08,CE,Fortaleza/CE,51816,3879
2020-10-09,CE,Fortaleza/CE,51861,3878
2020-10-10,CE,Fortaleza/CE,52079,3880
2020-10-11,CE,Fortaleza/CE,52128,3881
2020-10-12,CE,Fortaleza/CE,52170,3879
2020-10-13,CE,Fortaleza/CE,52196,3880
2020-10-14,CE,Fortaleza/CE,52333,3887
2020-10-15,CE,Fortaleza/CE,52430,3888
2020-10-16,CE,Fortaleza/CE,53017,3887
2020-10-17,CE,Fortaleza/CE,53036,3889
2020-10-18,CE,Fortaleza/CE,53156,3890
2020-10-19,CE,Fortaleza/CE,53416,3889
2020-10-20,CE,Fortaleza/CE,53506,3892
2020-10-21,CE,Fortaleza/CE,54170,3895
2020-10-22,CE,Fortaleza/CE,54301,3894
2020-10-23,CE,Fortaleza/CE,54455,3894
2020-10-24,CE,Fortaleza/CE,54592,3894
2020-10-25,CE,Fortaleza/CE,54669,3898
2020-10-26,CE,Fortaleza/CE,54831,3907
2020-10-27,CE,Fortaleza/CE,54995,3911
2020-10-28,CE,Fortaleza/CE,55193,3911
2020-10-29,CE,Fortaleza/CE,55368,3914
2020-10-30,CE,Fortaleza/CE,55527,3912
2020-10-31,CE,Fortaleza/CE,55709,3913
2020-11-01,CE,Fortaleza/CE,55798,3914
2020-11-02,CE,Fortaleza/CE,55952,3915
2020-11-03,CE,Fortaleza/CE,56019,3917
2020-11-04,CE,Fortaleza/CE,56278,3917
2020-11-05,CE,Fortaleza/CE,56698,3920
2020-11-06,CE,Fortaleza/CE,56735,3922
2020-11-07,CE,Fortaleza/CE,56985,3927
2020-11-08,CE,Fortaleza/CE,57098,3928
2020-11-09,CE,Fortaleza/CE,57382,3931
2020-11-10,CE,Fortaleza/CE,57488,3930
2020-11-11,CE,Fortaleza/CE,57675,3930
2020-11-12,CE,Fortaleza/CE,60170,3918
2020-11-13,CE,Fortaleza/CE,60890,3917
2020-11-14,CE,Fortaleza/CE,61182,3917
2020-11-15,CE,Fortaleza/CE,62259,3917
2020-11-16,CE,Fortaleza/CE,62909,3918
2020-11-17,CE,Fortaleza/CE,63411,3919
2020-11-18,CE,Fortaleza/CE,63703,3924
2020-11-19,CE,Fortaleza/CE,64343,3924
2020-11-20,CE,Fortaleza/CE,64682,3935
2020-11-21,CE,Fortaleza/CE,64900,3935
2020-11-22,CE,Fortaleza/CE,65102,3934
2020-11-23,CE,Fortaleza/CE,65965,3943
2020-11-24,CE,Fortaleza/CE,66334,3942
2020-11-25,CE,Fortaleza/CE,66721,3944
2020-11-26,CE,Fortaleza/CE,67740,3958
2020-11-27,CE,Fortaleza/CE,67875,3977
2020-11-28,CE,Fortaleza/CE,68319,3982
2020-11-29,CE,Fortaleza/CE,68492,3983
2020-11-30,CE,Fortaleza/CE,68908,3994
2020-12-01,CE,Fortaleza/CE,69042,3996
2020-12-02,CE,Fortaleza/CE,69071,3996
2020-12-03,CE,Fortaleza/CE,69387,3998
2020-12-04,CE,Fortaleza/CE,69606,4011
2020-12-05,CE,Fortaleza/CE,69831,4018
2020-12-06,CE,Fortaleza/CE,69902,4024
2020-12-07,CE,Fortaleza/CE,71567,4031
2020-12-08,CE,Fortaleza/CE,71833,4031
2020-12-09,CE,Fortaleza/CE,73001,4041
2020-12-10,CE,Fortaleza/CE,73462,4046
2020-12-11,CE,Fortaleza/CE,73816,4047
2020-12-12,CE,Fortaleza/CE,73816,4047
2020-12-13,CE,Fortaleza/CE,74339,4050
2020-12-14,CE,Fortaleza/CE,74637,4058
2020-12-15,CE,Fortaleza/CE,76097,4100
2020-12-16,CE,Fortaleza/CE,76327,4108
2020-12-17,CE,Fortaleza/CE,76681,4123
2020-12-18,CE,Fortaleza/CE,76996,4130
2020-12-19,CE,Fortaleza/CE,77299,4131
2020-12-20,CE,Fortaleza/CE,77545,4134
2020-12-21,CE,Fortaleza/CE,77945,4138
2020-12-22,CE,Fortaleza/CE,78139,4142
2020-12-23,CE,Fortaleza/CE,78317,4143
2020-12-24,CE,Fortaleza/CE,78485,4145
2020-12-25,CE,Fortaleza/CE,78529,4143
2020-12-26,CE,Fortaleza/CE,78567,4143
2020-12-27,CE,Fortaleza/CE,78656,4143
2020-12-28,CE,Fortaleza/CE,79983,4145
2020-12-29,CE,Fortaleza/CE,80500,4150
2020-12-30,CE,Fortaleza/CE,81105,4152
2020-12-31,CE,Fortaleza/CE,82294,4153
2021-01-01,CE,Fortaleza/CE,82501,4161
2021-01-02,CE,Fortaleza/CE,82549,4169
2021-01-03,CE,Fortaleza/CE,82618,4173
2021-01-04,CE,Fortaleza/CE,82647,4174
2021-01-05,CE,Fortaleza/CE,83787,4185
2021-01-06,CE,Fortaleza/CE,84463,4184
2021-01-07,CE,Fortaleza/CE,85380,4204
2021-01-08,CE,Fortaleza/CE,85996,4221
2021-01-09,CE,Fortaleza/CE,86291,4226
2021-01-10,CE,Fortaleza/CE,86434,4231
2021-01-11,CE,Fortaleza/CE,86534,4233
2021-01-12,CE,Fortaleza/CE,87476,4235
2021-01-13,CE,Fortaleza/CE,88007,4242
2021-01-14,CE,Fortaleza/CE,88667,4245
2021-01-15,CE,Fortaleza/CE,89125,4251
2021-01-16,CE,Fortaleza/CE,89897,4254
2021-01-17,CE,Fortaleza/CE,89897,4254
2021-01-18,CE,Fortaleza/CE,90762,4259
2021-01-19,CE,Fortaleza/CE,91059,4258
2021-01-20,CE,Fortaleza/CE,91793,4262
2021-01-21,CE,Fortaleza/CE,92421,4272
2021-01-22,CE,Fortaleza/CE,92947,4286
2021-01-23,CE,Fortaleza/CE,93360,4295
2021-01-24,CE,Fortaleza/CE,93987,4295
2021-01-25,CE,Fortaleza/CE,94638,4299
2021-01-26,CE,Fortaleza/CE,94638,4299
2021-01-27,CE,Fortaleza/CE,95232,4305
2021-01-28,CE,Fortaleza/CE,95232,4305
